Sr.,Particulars,Qty,Rate,Total,Date,Company,,
2099,Hosing  70 black,808,10,8080,,,,
2100,,,,61234,,,,
2101,uper cover window,414,36,14904,4/6/2015,,,
2102,Back  Cover  70,905,30,27150,,,,
2103,Hosing  70 black,893,10,8930,,,,
2104,,,,50984,,,,
2105,uper cover sohrab Js,500,45,22500,6/6/2015,,,
2106,hosing  suhrab js,180,33,5940,,,,
2107,dial Blank sohrab js,1000,11,11000,,,,
2108,Back Cover 70,306,36,11016,,,,
2109,Hosing  70 black,480,10,4800,,,,
2110,,,,55256,,,,
2111,uper cover window,628,36,22608,6/6/2015,,,
2112,Back Cover 70,408,30,12240,,,,
2113,,,,34848,,,,
2114,Back Cover 70,564,30,16920,8/6/2015,,,
2115,uper cover window,981,36,35316,,,,
2116,Back Cover 70,745,30,22350,,,,
2117,Hosing  70 black,885,10,8850,,,,
2118,,,,83436,,,,
2119,uper cover window,717,36,25812,11/6/2015,,,
2120,Back Cover 70,852,30,25560,,,,
2121,Hosing  70 black,690,10,6900,,,,
2122,hosing  suhrab js,370,33,12210,,,,
2123,cover Set new model 125,200,125,25000,,,,
2124,,,,95482,,,,
2125,uper cover window,852,36,30672,13-6-2015,,,
2126,Back Cover 70,1032,30,30960,,,,
2127,Hosing  70 black,1093,10,10930,,,,
2128,,,,72562,,,,
2129,uper cover window,434,36,15624,16-6-2015,,,
2130,Back Cover 70,408,30,12240,,,,
2131,Hosing  70 black,1108,10,11080,,,,
2132,Dial blank 125,1000,8,8000,,,,
2133,,,,46944,,,,
2134,uper cover sohrab Js,373,45,16785,17-6-2015,,,
2135,uper cover window,602,36,21672,,,,
2136,Back Cover 70,315,30,9450,,,,
2137,Hosing  70 black,576,10,5760,,,,
2138,,,,53667,,,,
2139,uper cover window,180,36,6480,18-6-2015,,,
2140,uper cover window orange,500,36,18000,,,,
2141,uper cover sohrab Js,186,45,8370,,,,
2142,Back Cover 70,750,30,22500,,,,
2143,Hosing  70 black,690,10,6900,,,,
2144,,,,62250,,,,
2145,Back  Cover  70,504,30,15120,19-6-2015,,,
2146,Hosing  70 black,438,10,4380,,,,
2147,,,,19500,,,,
2148,uper cover window,586,36,21096,22-6-2015,,,
2149,uper cover unique,173,36,6228,,,,
2150,Back Cover 70,1091,30,32730,,,,
2151,Hosing  70 black,497,10,4970,,,,
2152,Cover set 125,50,125,6250,,,,
2153,uper cover window,263,36,9468,,,,
2154,,,,80742,,,,
2155,uper cover unique,500,36,18000,23-6-2015,,,
2156,uper cover window,247,36,8892,,,,
2157,,,,26892,,,,
2158,uper cover window,424,36,15264,23-6-2015,,,
2159,uper cover unique,416,36,14976,,,,
2160,Back Cover 70,834,30,25020,,,,
2161,Hosing  70 black,908,10,9080,,,,
2162,,,,64340,,,,
2163,uper cover window,584,36,21024,25-6-2015,,,
2164,uper cover unique,328,36,11808,,,,
2165,uper cover sohrab Js,368,45,16560,,,,
2166,Back Cover 70,630,30,18900,,,,
2167,back Cover sohrab Js,500,20,10000,,,,
2168,Hosing  70 black,774,10,7740,,,,
2169,Cover set 125,200,125,25000,,,,
2170,,,,111032,,,,
2171,uper cover window,601,36,21636,26-6-2015,,,
2172,Back  Cover  70,759,30,22770,,,,
2173,Hosing  70 black,784,10,7840,,,,
2174,,,,52246,,,,
2175,uper cover window,715,36,25740,29-6-2015,,,
2176,Back  Cover  70,804,30,24120,,,,
2177,Hosing  70 black,726,10,7260,,,,
2178,,,,57120,,,,
2179,uper cover window,866,36,31176,1/7/2015,,,
2180,Back  Cover  70,785,30,23550,,,,
2181,Hosing  70 black,732,10,7320,,,,
2182,,,,62046,,,,
2183,uper cover window,343,36,12348,2/7/2015,,,
2184,uper cover unique,330,36,11880,,,,
2185,dial Blank sohrab,500,11,5500,,,,
2186,Dial blank 125,1000,8,8000,,,,
2187,,,,37728,,,,
2188,uper cover window,866,36,31176,3/7/2015,,,
