Sr.,Particulars,Qty,Rate,Total,Date,Company,,
1,Dial Sohrab Js ,500,10,5000,20-Mar-11,Five Star Auto Work,,
2,Dial CD 70,500,8,4000,-,,,
3,Dial king Hero,100,8,800,-,,,
4,Dial Ring ,100,6,600,-,,,
5,,,,10400,,,,
6,Upper Cover Unique 70,213,33,7029,29-Mar-11,,,
7,Upper Cover United 70,276,33,9108,-,,,
8,Back Cover 70,489,28,13692,-,,,
9,Housing 70,489,9,4401,-,,,
10,Upper Cover Sohrab Js,390,45,17550,-,,,
11,Housing Sohrab,390,30,11700,-,,,
12,Nest Sohrab,390,15,5850,-,,,
13,Dial Blank 70,1000,8,8000,-,,,
14,,,,77330,,,,
15,Upper Cover United 70,1005,33,33165,21-Apr-11,,,
16,Back Cover 70,1039,28,29092,-,,,
17,Housing 70,1002,9,9018,-,,,
18,Upper Cover Sohrab Js,325,45,14625,-,,,
19,Housing Sohrab Js,325,30,9750,-,,,
20,Nest Sohrab JS,325,15,4875,-,,,
21,Back Cover Sohrab JS,325,15,4875,-,,,
22,,,,105400,,,,
23,Dial Sohrab Js ,500,10,5000,20-Mar-11,,,
24,Dial Blank 70,500,8,4000,-,,,
25,Dial King Hero ,100,8,800,-,,,
26,Dial Ring ,100,6,600,-,,,
27,,,,10400,,,,
28,Dial Sohrab Js ,500,10,5000,26-Apr-11,,,
29,Dial Blank 70,1000,8,8000,30-Apr-11,,,
30,Dial Blank 70,1000,8,8000,4-May-11,,,
31,Housing 70,1073,9,9657,6-May-11,,,
32,Back Cover 70,1023,28,28644,-,,,
33,Upper Cover United,1023,33,33759,-,,,
34,,,,72060,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date:,,,,,,,,
,,,,,,,,
,,,,,,,,
M/S,FiveStar Auto Worke,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Hozing 70,1009,9,9081,15-May-11,,,
2,Upper Cover United,709,33,23397,-,,1000,
3,,,,32478,-,,500,
4,Dial Blank 70,1000,8,8000,16-May-11,,500,
5,Back Covr 70,389,28,10892,17-May-11,,300,
6,Upper cover United,196,33,6468,19-May-11,,1500,
7,Back Cover 70,519,28,14532,-,,,
8,,,,21000,,,,
9,Back Cover 70,450,28,12600,23-May-11,,,
10,Housing Sohrab Js,340,30,10200,-,,,
11,,,,22800,,,,
12,Upper Cover United,510,33,16830,27-May-11,,,
13,Upper Cover Sohrab Js,489,45,22005,-,,,
14,Back Cover Sohrab Js,500,15,7500,-,,,
15,Back Cover 70,254,28,7112,-,,,
16,Housing 70,564,9,5076,-,,,
17,Nest Sohrab JS,500,15,7500,-,,,
18,Housing Sohrab Js,100,30,3000,-,,,
19,,,,69023,,,,
20,Dial Sohrab Js,500,10,5000,6-Jun-11,,,
21,Upper cover United,534,33,17622,7-Jun-11,,,
22,Back Cover 70,982,28,27496,-,,,
23,Housing 70,1015,9,9135,-,,,
24,Dial Blank Sohrab Js,500,10,5000,-,,,
25,,,,59253,,,,
26,Dial Blank 70 King Hero,300,8,2400,16-Jun-11,,,
27,Dial Blank 70,1500,8,12000,-,,,
28,Upper Cover United 70cc,507,33,16731,-,,,
29,Upper Cover United (Hole ) 70,162,33,5346,-,,,
30,Housing 70 (GC),280,9,2520,-,,,
31,,,,38997,,,,
32,Back Cover 70 ( GC),504,28,14112,21-Jun-11,,,
33,Housing 70,449,9,4041,-,,,
34,,,,18153,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date:,,,,,,,,
,,,,,,,,
M/S,FiveStar Auto Worke,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Back Cover 70,685,28,19180,24-Jun-11,,,
2,Housing 70,230,9,2070,-,,,
3,,,,21250,,,,
4,Upper cover United,507,33,16731,25-Jun-11,,,
5,Back Cover 70,497,28,13916,-,,,
6,Dial Ring,300,6,1800,-,600,,
7,,,,32447,,1500,,
8,Dial Blank Sohrab Js,600,10,6000,1-Jul-11,,,
9,Dial Blank 70,1500,8,12000,-,,,
10,Inner  Housing Sohrab Js,500,30,15000,-,,,
11,Back Cover Sohrab Js,500,15,7500,-,,,
12,Nest Sohrab Js,482,15,7230,-,,,
13,Upper Cover 70 New,5,33,165,-,,,
14,Back Cover 70 New,5,28,140,-,,,
15,housing 70,5,9,45,-,,,
16,,,,48080,,,,
17,Upper Cover United,517,33,17061,2-Jul-11,,,
18,Upper Cover Sohrab Js,264,45,11880,-,,,
19,,,,28941,,,,
20,Upper Cover United,451,33,14883,5-Jul-11,,,
21,Housing 70,837,9,7533,-,,,
22,Back Cover Stip,3500,0.6,2100,-,,,
23,,,,24516,,,,
24,Back Cover 70,1030,28,28840,11-Jul-11,,,
25,Housing 70,1033,9,9297,,,,
26,,,,38137,,,,
27,Upper Cover United,625,33,20625,14-Jul,,,
28,Upper Cover Unique,227,33,7491,,,,
29,Housing 70 ( GC),280,9,2520,,,,
30,Dial Ring 70,300,8,2400,,,,
31,,,,33036,,,,
32,Upper Cover United,694,33,22902,20-Jul-11,,,
33,Upper Cover Unique,450,33,14850,-,,,
34,Back Cover 70,497,28,13916,-,,,
35,Housing 70,531,9,4779,-,,,
36,Upper Cover (New Model),525,33,17325,-,,,
37,Back Cover NeW Model),525,28,14700,-,,,
,,,,88472,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date:,,,,,,,,
,,,,,,,,
,,,,,,,,
M/S,FiveStar Auto Worke,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Dial Blank 70,1500,8,12000,23-Jul-11,,,
2,Upper Cover Unique,435,33,14355,-,,,
3,Back Cover 70,393,28,11004,-,,,
4,,,,37359,,,,
5,Dial Blank 70(Ring),1000,6,6000,28-Jul-11,,,
6,Dial Blank 70,1000,8,8000,-,1500,,
7,Housing 70,510,9,4590,-,1000,,
8,Housing 70 (G.C),838,9,7542,-,3000,,
9,Back Cover 70,497,28,13916,-,,,
10,Upper Cover United,496,33,16368,-,,,
11,Back Cover 70 ( G.C),122,28,3416,-,,,
12,Back Cover 70(Gc),680,28,19040,29-Jul-11,,,
13,,,,78872,,,,
14,Upper Cover United,455,33,15015,4-Aug-11,,,
15,Housing 70,520,9,4680,-,,,
16,Dial Ring 70,500,6,3000,-,,,
17,,,,22695,,,,
18,Upper Cover United,265,33,8745,7-Aug-11,,,
19,Back Cover 70,533,28,14924,-,,,
20,Housing 70,537,9,4833,-,,,
21,,,,28502,,,,
22,Dial Blank 70,3000,8,24000,9-Aug-11,,,
23,Upper Cover United,371,33,12243,-,,,
24,Back  Cover 70,390,28,10920,-,,,
25,Housing 70,204,9,1836,-,,,
26,,,,48999,,,,
27,Upper Cover United,332,33,10956,10-Aug-11,,,
28,Back Cover United,333,28,9324,-,,,
29,Housing 70,264,9,2376,-,,,
30,,,,22656,,,,
31,Upper Cover United,624,33,20592,12-Aug-11,,,
32,Upper Cover Unique,332,33,10956,-,,,
33,Back Cover 70,707,28,19796,-,,,
34,Hpusing 70,471,9,4239,-,,,
35,,,,55583,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Date:,,,,,,,,
,,,,,,,,
M/S,FiveStar Auto Worke,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Upper Cover Sohrab Js,107,45,4815,15-Aug-11,,,
2,Housing 70 (Inner),906,9,8154,-,,,
3,,,,12969,,,,
4,Dial Blank 70,2000,8,16000,18-Aug-11,,,
5,Upper Cover Unique,249,33,8217,-,,,
6,Upper Cover United,386,33,12738,-,2000,,
7,,195,9,1755,-,600,,
8,,,,38710,,2000,,
9,Dial Blank King Hero,600,9,5400,20-Aug-11,2000,,
10,Housing 70 (Inner),528,9,4752,-,,,
11,Back Cover 70,464,28,12992,-,,,
12,Upper Cover United,651,33,21483,-,,,
13,,,,44627,,,,
14,Dial Blank 70,2000,9,18000,24-Aug-11,,,
15,Back Cover 70,1097,28,30716,-,,,
16,Upper Cover Unique,814,33,26862,-,,,
17,Housing 70 (Inner),596,9,5364,-,,,
18,,,,80942,,,,
19,Upper Cover United,454,33,14982,25-Aug-11,,,
20,Upper Cover Unique,314,33,10362,-,,,
21,,,,25344,,,,
22,Upper Cover United,384,33,12672,26-Aug-11,,,
23,Back Cover 70,555,28,15540,-,,,
24,Housing 70 (Inner),184,9,1656,-,,,
25,,,,29868,,,,
26,Back Cover  G.C 70,299,28,8372,8-Sep-11,,,
27,Back Cover 70,302,28,8456,-,,,
28,Housing 70 (Inner),308,9,2772,-,,,
29,Dial Blank 70,3500,9,31500,-,,,
30,Upper Cover United,1268,33,41844,-,,,
31,Back Cover 70,1254,28,35112,-,,,
32,,,,128056,,,,
33,Housing 70 (Inner),962,9,8658,13-Sep-11,,,
34,Back cover 70,192,28,5376,-,,,
35,,,,14034,-,,,
36,Upper Cover United,1014,33,33462,17-Sep-11,,,
37,Back Cover 70,854,30,25620,-,,,
38,Housing 70 (Inner),1071,9,9639,-,,,
39,,,,68721,-,,,
40,Dial Blank 70,2000,9,18000,30-Sep-11,,,
41,Housing 70 (Inner),1017,9,9153,-,,,
42,Back Cover 70,527,30,15810,-,,,
43,Upper Cover United,708,33,23364,-,,,
44,Upper Cover Sohrab Js,120,45,5400,-,,,
45,Housing Sohrab JS,120,30,3600,-,,,
46,Back Cover Sohrab,120,15,1800,-,,,
47,,,,77127,-,,,
48,King Hero Dial Blank ,500,9,4500,23-Sep-11,,,
49,,,,4500,-,,,
50,Upper Cover Unique,517,33,17061,7-Oct-11,,,
51,Back Cover 70 CC,1009,28,28252,-,,,
52,Upper Cover Sohrab JS,223,45,10035,-,,,
53,Housing Sohrab JS,60,30,1800,-,,,
54,Housing 70CC,1050,9,9450,-,,,
55,Back Cover sohrab JS,223,15,3345,-,,,
56,Nest Sohrab JS,223,15,3345,-,,,
57,,,,73288,-,,,
58,Housing Sohrab JS,300,30,9000,14-Oct-11,,,
59,Back Cover 70,186,28,5208,-,,,
60,Housing 70,212,9,1908,-,,,
61,upper Cover 70,71,33,2343,-,,,
62,,,,18459,-,,,
63,Upper Cover United 70,693,33,22869,15-Oct-11,,,
64,Back Cover 70,1320,28,36960,-,,,
65,Housing 70,1401,9,12609,-,,,
,,,,72438,,,,
66,Dial Blank 70 CD,2000,9,18000,20-Oct-11,,,
67,Dial Blank King Hero,500,9,4500,-,,,
68,Upper Cover United,645,33,21285,-,,,
69,Upper Cover Unique,544,33,17952,-,,,
70,,,,61737,-,,,
,,,,,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Upper Cover 70 New,249,33,8217,21-Oct-11,,,
2,Housing 70,509,9,4581,_,,,
3,Dial Ring 70,500,6,3000,_,,,
4,,,,15798,,,,
5,Dial 70,500,9,4500,25-Oct-11,,,
6,Upper Cover United,701,33,23133,_,,,
7,Back Cover 70,675,28,18900,_,500,,
8,Back Cover70 (Gare Counter),621,28,17388,_,2500,,
9,,,,63921,,3000,,
10,Upper Cover United,709,33,23397,3-Nov-11,3000,,
11,Dial 70,2500,9,22500,,,,
12,Upper Cover United,322,33,10626,,,,
,Back Cover 70,1350,28,37800,,,,
13,Housing 70,1391,9,12519,,,,
14,,,,106842,,,,
15,Upper Cover United,584,33,19272,4-Nov-11,,,
16,Housing 70,495,9,4455,,,,
17,,,,23727,,,,
18,Upper Cover United,1060,33,34980,11-Nov-11,,,
19,Back Cover 70,1075,28,30100,,,,
20,Housing 70,720,9,6480,,,,
21,,,,71560,,,,
22,Dial Blank 70,3000,9,27000,15-Nov-11,,,
23,Upper Cover United,1859,33,61347,,,,
24,Back Cover 70,1918,28,53704,,,,
25,,,,142051,,,,
26,Upper Cover Unique,515,33,16995,19-Nov-11,,,
27,Upper Cover 70 New,530,33,17490,,,,
28,Back Cover 70,1057,28,29596,,,,
29,Housing 70 Black,503,9,4527,,,,
30,,,,68608,,,,
31,Back Cover 70,790,28,22120,24-Nov-11,,,
32,Housing 70,1030,9,9270,,,,
33,,,,31390,,,,
34,Dial Blank 70,3000,9,27000,30-Nov-11,,,
35,Housing 70 Black,1498,9,13482,,,,
36,,,,40482,,,,
37,Upper Cover United,700,33,23100,1-Dec-11,,,
38,Back Cover 70,1356,28,37968,,,,
39,Housing 70,692,9,6228,,,,
40,,,,67296,,,,
41,Upper Cover United,774,33,25542,7-Dec-11,,,
42,Upper Cover Unique,428,33,14124,8-Dec-11,,,
43,Upper Cover United,332,33,10956,,,,
44,,,,25080,,,,
45,Upper Cover United,349,33,11517,12-Dec-11,,,
46,Back Cover  70,1716,28,48048,,,,
47,Housing 70 Black,2247,9,20223,,,,
48,,,,79788,,,,
49,Upper Cover United,537,33,17721,14-Dec-11,,,
50,Housing 70,540,9,4860,,,,
51,,,,22581,,,,
52,Upper Cover United,938,33,30954,16-Dec-11,,,
53,Back Cover 70,539,28,15092,,,,
54,Back Cover 70 (Gare Counter),216,28,6048,,,,
55,Housing 70,611,9,5499,,,,
56,Housing 70 (Gare Counter),200,9,1800,,,,
57,,,,59393,,,,
58,Upper Cover united,498,33,16434,21-Dec-11,,,
59,Housing 70 (black),525,9,4725,,,,
60,,,,21159,,,,
,,,,,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Upper cover United,672,33,22176,23-Dec-11,,,
2,Housing 70 Black,283,9,2547,,,,
3,,,,24723,,,,
4,Upper cover United,415,33,13695,26-Dec-11,,,
5,Back Cover 70,1059,28,29652,,,,
6,Housing 70 Black,1687,9,15183,,3000,,
7,,,,58530,,3000,,
8,Dial Blank 70,3000,9,27000,29-Dec-11,500,,
9,Upper cover United,1009,33,33297,,2000,,
10,Back Cover 70,1478,28,41384,,1000,,
11,Housing 70 Black,246,9,2214,,3000,,
12,,,,103895,,,,
,Upper cover United,2233,33,73689,4-Jan-12,,,
13,Upper Cover 70 New,509,33,16797,,,,
14,Housing 70 ,575,9,5175,,,,
15,,,,95661,,,,
16,Upper Cover United,495,33,16335,7-Jan-12,,,
17,Back Cover 70,288,28,8064,,,,
18,Back Cover 70 (Gare Co),547,28,15316,,,,
19,Housing 70,496,9,4464,,,,
20,Housing 70 Gare Co,1243,9,11187,,,,
21,,,,55366,,,,
22,Upper Cover  Unique,455,33,15015,7-Jan-12,,,
23,Dial Blank 70,3000,9,27000,16-Jan-12,,,
24,Dial Blank Sohrab JS,500,12,6000,,,,
25,Upper Cover United,819,33,27027,,,,
26,Back Cover 70,838,28,23464,,,,
27,Housing 70,836,9,7524,,,,
28,,,,91015,,,,
29,Dial Blank 70,2000,9,18000,18-Jan-12,,,
30,Upper cover United,749,33,24717,,,,
31,Back Cover 70,904,28,25312,,,,
32,Upper Cover Sohrab JS,302,45,13590,,,,
33,Housing Sohrab JS,302,30,9060,,,,
34,Back Cover Sohrab JS,302,15,4530,,,,
35,Nest Sohrab JS,124,15,1860,,,,
36,,,,97069,,,,
37,Upper Cover Unique 70,626,33,20658,24-Jan-12,,,
38,Back Cover 70,814,28,22792,,,,
39,Housing 70,689,9,6201,,,,
40,,,,49651,,,,
41,Upper Cover United,806,33,26598,26-Jan-12,,,
42,Upper Cover United,899,33,29667,,,,
43,Back Cover 70,714,28,19992,,,,
44,Housing 70,1524,9,13716,,,,
45,,,,89973,,,,
46,Back Cover 70,1212,28,33936,30-Jan-12,,,
47,Housing 70,1208,9,10872,,,,
48,Nest Sohrab JS,200,15,3000,,,,
49,,,,47808,,,,
50,Dial Blank 70 King Hero,1000,9,9000,3-Feb-12,,,
51,Dial Blank 70,3000,9,27000,,,,
52,Upper Cover United,597,33,19701,,,,
53,Back Cover 70,1293,28,36204,,,,
54,Housing 70,907,9,8163,,,,
55,,,,100068,,,,
56,Upper Cover United,886,33,29238,8-Feb-12,,,
57,Back Cover 70,1306,28,36568,,,,
58,Housing 70,1604,9,14436,,,,
59,,,,80242,,,,
60,,,,0,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Upper Cover United,1064,33,35112,13-Feb-12,,,
2,Back Cover 70,1068,28,29904,,,,
3,Housing 70 Black,604,9,5436,,,,
4,Upper Cover Unique 70,530,33,17490,,,,
5,back Cover 70 Gare Counter,159,28,4452,,,,
6,Housing 70 Gare Counter,524,9,4716,,,,
7,,,,97110,,,,
8,Upper Cover 70,370,33,12210,16-Feb-12,,,
9,Dial Ring 70,500,6,3000,,,,
10,,,,15210,,,,
11,Back Cover 70,294,28,8232,23-Feb-12,,,
12,Upper Cover United,258,33,8514,,,,
,Upper Cover United,420,33,13860,,,,
13,Back Cover 70,186,28,5208,,,,
14,Dial Blank 70,1500,9,13500,,,,
15,Dial Blank Sohrab JS,500,12,6000,,,,
16,Upper Cover United,144,33,4752,,,,
17,Upper Cover United,366,33,12078,,,,
18,Back Cover 70,451,28,12628,,1500,,
19,Housing 70 Black,648,9,5832,,500,,
20,,,,90604,,,,
21,Upper Cover United,308,33,10164,25-Feb-12,,,
22,Back Cover 70,170,28,4760,,,,
23,Upper Cover United,381,33,12573,,,,
24,Back Cover 70,1018,28,28504,,,,
25,upper Cover 70 New,231,33,7623,,,,
26,back Cover 70 Gare Counter,108,28,3024,,,,
27,Housing 70 Black,1063,9,9567,,,,
28,,,,76215,,,,
29,Upper Cover United,664,33,21912,27-Feb-12,,,
30,Upper Cover United,842,33,27786,29-Feb-12,,,
31,Back Cover 70,905,28,25340,,,,
32,Housing 70 Black,863,9,7767,,,,
33,,,,60893,,,,
34,Dial Blank 70,500,9,4500,2-Mar-12,,,
35,Upper Cover United,554,33,18282,,,,
36,Back Cover 70,275,28,7700,,,,
37,back Cover 70 Gare Counter,522,28,14616,,,,
38,Housing 70,493,9,4437,,500,,
39,,,,49535,,,,
40,Dial Blank 70,1000,9,9000,5-Mar-12,,,
41,dial Blank 70,3000,9,27000,,,,
42,Upper Cover 70,235,33,7755,,,,
43,Upper Cover United,136,33,4488,,,,
44,Back Cover 70,590,28,16520,,1000,,
45,Housing 70,166,9,1494,,3000,,
46,Housing Sohrab JS,300,30,9000,,,,
47,Nest Sohrab JS,300,15,4500,,,,
48,,,,79757,,,,
49,Upper Cover United,244,33,8052,6-Mar-12,,,
50,Upper Cover Hero 70,139,33,4587,,,,
51,Back Cover 70,308,28,8624,,,,
52,,,,21263,,,,
53,Upper cover United,483,33,15939,7-Mar-12,,,
54,Back Cover 70,308,28,8624,,,,
55,,,,24563,,,,
56,Upper Cover Zxmco,1485,33,49005,9-Mar-12,,,
57,Back Cover 70,1025,28,28700,,,,
58,Housing 70,1594,9,14346,,,,
59,Dial Blank 70,3000,9,27000,,,,
60,,,,119051,,,,
,,,,,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,3000,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Dial Ring 70,500,6,3000,13-Mar-12,,,
2,Upper Cover Sohrab JS,378,45,17010,,,,
3,back Cover Sohrab JS,350,15,5250,,,,
4,back Cover 70,204,28,5712,,,,
5,,,,30972,,,,
6,Upper cover United,356,33,11748,15-Mar-12,,,
7,Back Cover 70,390,28,10920,,,,
8,,,,22668,,,,
9,Upper Cover United,358,33,11814,15-Mar-12,,,
10,Back Cover 70,186,28,5208,,,,
11,Housing 70 Black,263,9,2367,,,,
12,,,,19389,,,,
13,Upper Cover United,407,33,13431,17-Mar-12,,,
14,Back Cover 70,303,28,8484,,,,
15,Housing 70 Black,285,9,2565,,,,
16,,,,24480,,,,
17,Upper Cover United,351,33,11583,20-Mar-12,,,
18,Back Cover 70,205,28,5740,,,,
19,Housing 70 Black,270,9,2430,,,,
20,,,,19753,,,,
21,Upper Cover United,314,33,10362,21-Mar-12,,,
22,Back Cover 70,170,28,4760,,,,
23,Housing 70 Black,541,9,4869,,,,
24,,,,19991,,,,
25,Upper Cover United,592,33,19536,24-Mar-12,,,
26,Back Cover 70,204,28,5712,,,,
27,,,,25248,,,,
28,Dial Blank 70,500,9,4500,27-Mar-12,,,
29,Back Cover 70,589,28,16492,,,,
30,Housing 70 Black,240,9,2160,,,,
31,,,,23152,,,,
32,Back Cover 70,204,28,5712,29-Mar-12,500,,
33,Back Cover 70 (Gare Counter),228,28,6384,,,,
34,Housing 70 (Gare Counter),240,9,2160,,,,
35,,,,14256,,,,
36,Upper Cover 70 New,76,33,2508,30-Mar-12,,,
37,Back cover  70,84,28,2352,,,,
38,Housing 70,405,9,3645,,,,
39,,,,8505,,,,
40,Upper Cobver Unique,222,33,7326,2-Apr-12,,,
41,Upper Cover United,247,33,8151,,,,
42,Housing 70 Black,545,9,4905,,,,
43,,,,20382,,,,
44,Dial Blank 70,1000,9,9000,3-Apr-12,,,
45,Back Cover 70,308,28,8624,,,,
46,Housing 70 Black,485,9,4365,,,,
47,,,,21989,,,,
48,Upper Cover Zxmco,336,33,11088,4-Apr-12,1000,,
49,back Cover 70,186,28,5208,,,,
50,Back Cover 70 (Gare Counter),228,28,6384,,,,
51,Housing 70 (Gare Counter),190,9,1710,,,,
52,,,,24390,,,,
53,Upper Cover 70 ,263,33,8679,5-Apr-12,,,
54,Back cover  70,372,28,10416,,,,
55,Housing 70,342,9,3078,,,,
56,,,,22173,,,,
57,Upper Cover Zxmco,148,33,4884,7-Apr-12,,,
58,back Cover 70,308,28,8624,,,,
59,,,,13508,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Back Cover 70,714,28,19992,9-Apr-12,,,
2,Back Cover 70,204,28,5712,10-Apr-12,,,
3,Housing  70,905,9,8145,,,,
4,,,,13857,,,,
5,Upper Cover Zxmco,74,33,2442,11-Apr-12,,,
6,Back Cover 70,419,28,11732,,,,
7,Housing  70 black,309,9,2781,,,,
8,,,,16955,,,,
9,Upper Cover Zxmco,340,33,11220,12-Apr-12,,,
10,Back Cover 70,316,28,8848,,,,
11,Housing  70 black,281,9,2529,,,,
12,,,,22597,,,,
13,Upper Cover Zxmco,222,33,7326,13-Apr-12,,,
14,Upper Cover Zxmco,370,33,12210,,,,
15,Back Cover 70,325,28,9100,,,,
16,Housing  70 black,140,9,1260,,,,
17,,,,29896,,,,
18,Dial Blank 70,1500,9,13500,17-Apr-12,,,
19,Upper Cover Zxmco,404,33,13332,,,,
20,Upper Cover Zxmco,444,33,14652,,,,
21,Back Cover 70,296,28,8288,,,,
22,,,,49772,,,,
23,Dial Blank 70,1000,9,9000,18-Apr-12,,,
24,Upper Cover Zxmco,276,33,9108,,,,
25,Back Cover 70,195,28,5460,,,,
26,back Cover 70 (Gare Counter),228,28,6384,,,,
27,Housing 70 black,438,9,3942,,,,
28,,,,33894,,,,
29,Upper Cover Zxmco,370,33,12210,19-Apr-12,,,
30,Back Cover 70,324,28,9072,,,,
31,Housing  70 black,374,9,3366,,,,
32,,,,24648,,,,
33,Upper Cover Zxmco,296,33,9768,21-Apr-12,,,
34,Upper Cover 70 New,232,33,7656,,,,
35,Housing  70 black,452,9,4068,,,,
36,Back Cover 70,93,28,2604,,,,
37,,,,24096,,,,
38,Upper Cover sohrab JS,228,45,10260,23-Apr-12,,,
39,Back Cover sohrab Js,228,15,3420,,,,
40,Nest Sohrab JS,228,33,7524,,,,
41,Housing Sohrab Js,230,30,6900,,,,
42,upper Cover Zxmco,148,33,4884,,,,
43,,,,32988,,,,
44,Back Cover 70,551,28,15428,24-Apr-12,,,
45,Housing 70 black,434,9,3906,,,,
46,,,,19334,,,,
47,Dial Blank 70,1000,9,9000,26-Apr,,,
48,Back cover 70 Gare Counter,261,28,7308,,,,
49,Back Cover 70,308,28,8624,,,,
50,Housing 70 gare Counter,330,9,2970,,,,
51,,,,27902,,,,
52,Upper Cover Zxmco,240,33,7920,27-Apr-12,,,
53,Back Cover 70,298,28,8344,,,,
54,Housing  70 black,221,9,1989,,,,
55,,,,18253,,,,
56,Upper Cover Window,74,33,2442,28-Apr-12,,,
57,Back cover 70 Gare Counter,261,28,7308,,,,
58,Housing 70 gare Counter,80,9,720,,,,
59,Upper Cover Sohrab Window,10,45,450,,,,
60,upper Cover window 70,148,33,4884,,,,
61,Back Cover 70,322,28,9016,,,,
62,Housing 70,386,9,3474,,,,
63,Dial Blank 70,1000,9,9000,,,,
64,,,,37294,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Upper Cover Unique,296,33,9768,30-Apr-12,,,
2,Upper Cover Window 70,498,33,16434,,,,
3,,,,26202,,,,
4,Blank Dial 70,1000,9,9000,2-May-12,,,
5,Back Cover 70,331,30,9930,,,,
6,Housing 70 Black,575,10,5750,,,,
7,Dial Blank 70,1000,9,9000,,,,
8,upper Cover Window,148,36,5328,,,,
9,Back Cover 70,295,30,8850,,,,
10,Housing 70 Black,408,10,4080,,,,
11,,,,51938,,,,
12,Upper Cover 70,495,36,17820,3-May-12,,,
13,Back Cover 70,308,30,9240,,,,
14,,,,27060,,,,
15,upper Cover  Window 70,222,36,7992,4-May-12,,,
16,Back Cover 70,413,30,12390,,,,
17,Housing 70 ,312,10,3120,,,,
18,,,,23502,,,,
19,Dial Blank 70,1500,9,13500,4-May-12,,,
20,Upper Cover Window 70,444,36,15984,,,,
21,Back Cover 70,263,30,7890,,,,
22,,,,37374,,,,
23,Upper Cover Window 70,92,36,3312,5-May-12,,,
24,Upper Cover Unique 70,74,36,2664,,,,
25,Back Cover 70,365,30,10950,,,,
26,Housing 70 Black,438,10,4380,,,,
27,,,,21306,,,,
28,Back Cover 70,170,30,5100,7-May-12,,,
29,Housing 70 Black,1018,10,10180,,,,
30,,,,15280,,,,
31,Back Cover 70,603,30,18090,8-May-12,,,
32,Housing 70 Black,267,10,2670,,,,
33,,,,20760,,,,
34,Dial Blank 70,1500,9,13500,9-May-11,,,
35,Upper Cover Window 70,321,36,11556,,,,
36,,,,25056,,,,
37,Upper Cover Window 70,410,36,14760,10-May-12,,,
38,Upper Cover Unique,518,36,18648,11-May-12,,,
39,back Cover 70,204,30,6120,,,,
40,Housing 70,120,10,1200,,,,
41,,,,25968,,,,
42,upper Cover Window 70,419,36,15084,12-May-12,,,
43,Back Cover 70,288,30,8640,,,,
44,,,,23724,,,,
45,upper Cover Window 70,157,36,5652,14-May-12,,,
46,Back Cover 70,200,30,6000,,,,
47,Housing 70 Black,488,10,4880,,,,
48,,,,16532,,,,
49,upper Cover Window 70,74,36,2664,15-May-12,,,
50,Back Cover 70 gare counter,704,30,21120,,,,
51,Housing 70 Black,120,10,1200,,,,
52,,,,24984,,,,
53,upper Cover Window 70,212,36,7632,16-May-12,,,
54,Back Cover 70,361,30,10830,,,,
55,Housing 70 Black,308,10,3080,,,,
56,,,,21542,,,,
57,upper Cover Window 70,458,36,16488,17-May-12,,,
58,Back Cover 70,204,30,6120,,,,
59,Housing 70 Black,247,10,2470,,,,
60,,,,25078,,,,
61,upper Cover Window 70,304,36,10944,18-May-12,,,
62,Back Cover 70,358,30,10740,,,,
63,Housing 70 Black,260,10,2600,,,,
64,,,,24284,,,,
,,,,,,,,
M/S,Five Star Auto Work,,,,,,,
,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,
1,Dial Blank 70,2000,9,18000,22-May-12,,,
2,Upper Cover Unique,355,36,12780,,,,
3,Upper Cover Window,71,36,2556,,,,
4,back Cover 70 hole,276,30,8280,,,,
5,Housing 70 black,295,10,2950,,,,
6,,,,44566,,,,
