Sr.,Particulars,Qty,Rate,Total,Date,Company ,,,,,,,,,
1,Upper Cover United,1014,40,40560,10-Oct-11,Techno Call,,,,,,,,,
2,Back Cover 70,2519,32,80608,,Techno Call,,,,,,,,,
3,Housing 70,674,9,6066,,Techno Call,,,,,,,,,
4,,,,127234,,Techno Call,,,,,,,,,
5,Upper Cover United,741,40,29640,14-Oct-11,Techno Call,,,,,,,,,
6,Housing 70,602,9,5418,,Techno Call,,,,,,,,,
7,Dial Blank 70,3500,9,31500,,Techno Call,,,,,,,,,
8,,,,66558,,Techno Call,,,,,,,,,
9,Upper Cover United,507,40,20280,17-Oct-11,Techno Call,,,,,,,,,
10,Back Cover 70,465,32,14880,,Techno Call,,,,,,,,,
11,Housing 70,363,9,3267,,Techno Call,,,,,,,,,
12,,,,38427,,Techno Call,,,,,,,,,
13,Upper Cover United,503,40,20120,19-Oct-11,Techno Call,,,,,,,,,
14,Back Cover 70,521,32,16672,,Techno Call,,,,,,,,,
15,Housing 70,933,9,8397,,Techno Call,,,,,,,,,
16,,,,45189,,Techno Call,,,,,,,,,
17,Upper Cover United,735,40,29400,22-Oct-11,Techno Call,,,,,,,,,
18,Housing 70,928,9,8352,,Techno Call,,,,,,,,,
19,,,,37752,,Techno Call,,,,,,,,,
20,Upper Cover 70 New,100,40,4000,16-Dec-11,Techno Call,,,,,,,,,
21, Meter Wire 70,100,24,2400,,Techno Call,,,,,,,,,
22,,,,6400,,Techno Call,,,,,,,,,
23,Dial Blank 70,1100,9,9900,11-Feb-12,Techno Call,,,,,,,,,
24,Upper Cover 70 New,100,40,4000,,Techno Call,,,,,,,,,
25,Dial Blank 70,150,9,1350,,Techno Call,,,,,,,,,
26,Printed Dial 70,1170,7,8190,,Techno Call,,,,,,,,,
27,Upper Cover Hi Speed,1105,42,46410,,Techno Call,,,,,,,,,
28,,,,69850,,,,,,,,,,,
29,Dial Blank 70,425,9,3825,21-Feb-12,,,,,,,,,,
30,Upper Cover 70 New,400,40,16000,,,,,,,,,,,
31,,,,19825,,,,,,,,,,,
32,Dial Blank 70,325,9,2925,1-Mar-12,,,,,,,,,,
33,Dial Blank 70,700,9,6300,,,,,,,,,,,
34,Upper Cover 70 New,150,40,6000,,,,,,,,,,,
35,Meter Wire,150,24,3600,,,,,,,,,,,
36,Dial Blank 70,1000,9,9000,,,,,,,,,,,
37,Dial Printed 70,535,7,3745,,,,,,,,,,,
38,Dial Printed Challenger,423,7,2961,,,,,,,,,,,
39,Upper Cover United,618,40,24720,,,,,,,,,,,
40,Back Cover 70,570,32,18240,,,,,,,,,,,
41,Housing 70,550,9,4950,,,,,,,,,,,
42,,,,82441,,,,,,,,,,,
43,Pointer Given,3000,9,27000,1-Mar-12,,,,,,,,,,
44,Dial Blank 70,3000,9,27000,7-Mar-12,,,,,,,,,,
45,Upper Cover Zxmco,441,40,17640,,,,,,,,,,,
46,Back Cover 70,385,32,12320,,,,,,,,,,,
47,,,,56960,,,,,,,,,,,
48,Upper Cover Zxmco,507,42,21294,12-Mar-12,,,,,,,,,,
49,Back Cover 70,454,32,14528,,,,,,,,,,,
50,Housing 70,514,9,4626,,,,,,,,,,,
51,,,,40448,,,,,,,,,,,
52,Upper Cover united,563,40,22520,16-Mar-12,,,,,,,,,,
53,Back Cover 70,594,32,19008,,,,,,,,,,,
54,Housing 70 black,582,9,5238,,,,,,,,,,,
55,,,,46766,,,,,,,,,,,
56,Dial Blank Quinque,125,12,1500,21-Mar-12,,,,,,,,,,
57,Upper Cover 70,50,40,2000,,,,,,,,,,,
58,Meter Wire United,500,24,12000,,,,,,,,,,,
59,Upper Cover 70 New,250,40,10000,,,,,,,,,,,
60,Upper Cover United 70,305,40,12200,,,,,,,,,,,
61,Back Cover 70,190,32,6080,,,,,,,,,,,
62,Housing 70 Blue,250,9,2250,,,,,,,,,,,
63,Housing 70 black,408,9,3672,,,,,,,,,,,
64,,,,49702,,,,,,,,,,,
,,,,,,,,,,,,,,,
M/S,Techno Cal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,,,,,,,,,,
1,Back Cover 70,189,32,6048,30-Mar-12,,,,,,,,,,
2,Back Cover 70,204,32,6528,,,,,,,,,,,
3,Back Cover 70,102,32,3264,,,,,,,,,,,
4,housing 70,132,9,1188,,,,,,,,,,,
5,upper Cover 70,92,40,3680,,,,,,,,,,,
6,Meter Wire 70,500,24,12000,,,,,,,,,,,
7,Upper Cover Unique,247,40,9880,,,,,,,,,,,
8,Back Cover 70,77,32,2464,,,,,,,,,,,
9,housing 70,140,9,1260,,,,,,,,,,,
10,,,,46312,,,,,,,,,,,
11,Back Cover 70,154,32,4928,4-Apr-12,,,,,,,,,,
12,housing 70 Black,240,9,2160,,,,,,,,,,,
13,Upper Cover United,240,40,9600,,,,,,,,,,,
14,Upper Cover 70,170,40,6800,,,,,,,,,,,
15,housing 70,260,9,2340,,,,,,,,,,,
16,Dial Blank 70,1500,9,13500,,,,,,,,,,,
17,housing 70 black,160,9,1440,,,,,,,,,,,
18,Upper Cover Zxmco,240,40,9600,,,,,,,,,,,
19,,,,50368,,,,,,,,,,,
