Sr.,Particulars,Qty,Rate,Total,Date,Company ,,,,,,,,,
1549,Back Cover Qinque,970,20,19400,18-12-2014,,,,,,,,,,
1550,Nest Qinque,1060,20,21200,,,,,,,,,,,
1551,,,,40600,,,,,,,,,,,
1552,Upper Cover  window,83,35,2905,20-12-2014,,,,,,,,,,
1553,Back Cover 70,750,30,22500,,,,,,,,,,,
1554,Hosing 70Black,667,8,5336,,,,,,,,,,,
1555,Upper Cover  window,679,35,23765,,,,,,,,,,,
1556,,,,54506,,,,,,,,,,,
1557,Dial Blank qinque,2000,12,24000,23-12-2014,,,,,,,,,,
1558,Upper Cover  window,749,35,26215,,,,,,,,,,,
1559,Back Cover 70,749,30,22470,,,,,,,,,,,
1560,,,,72685,,,,,,,,,,,
1561,Upper Cover  window,274,35,9590,24-12-2014,,,,,,,,,,
1562,Back Cover 70,747,30,22410,,,,,,,,,,,
1563,Hosing 70Black,234,8,1872,,,,,,,,,,,
1564,,,,33872,,,,,,,,,,,
1565,Upper Cover  window,148,35,5180,26-12-2014,,,,,,,,,,
1566,Back Cover 70,520,30,15600,,,,,,,,,,,
1567,Hoiusing 70,496,8,3968,,,,,,,,,,,
1568,,,,24748,,,,,,,,,,,
1569,Back Cover 70,1010,30,30300,29-12-2014,,,,,,,,,,
1570,Hoiusing 70,760,8,6080,,,,,,,,,,,
1571,,,,36380,,,,,,,,,,,
1572,Hosing qinque,541,35,18935,29-12-2014,,,,,,,,,,
1573,Back Cover qinque,1000,20,20000,,,,,,,,,,,
1574,Nest Qinque,2020,20,40400,,,,,,,,,,,
1575,,,,79335,,,,,,,,,,,
1576,upper Cover  Qinque,410,45,18450,30-12-2014,,,,,,,,,,
1577,Upper Cover  window,168,35,5880,,,,,,,,,,,
1578,Back Cover 70,358,30,10740,,,,,,,,,,,
1579,,,,35070,,,,,,,,,,,
1580,upper Cover  Qinque,706,45,31770,31-12-2014,,,,,,,,,,
1581,Back Cover qinque,1550,20,31000,,,,,,,,,,,
1582,hosing qinque,757,35,26495,,,,,,,,,,,
1583,Upper Cover  window,466,35,16310,,,,,,,,,,,
1584,Back Cover 70,342,30,10260,,,,,,,,,,,
1585,,,,115835,,,,,,,,,,,
1586,Upper Cover  window,434,35,15190,2/1/2015,,,,,,,,,,
1587,Hosing 70Black,1068,8,8544,,,,,,,,,,,
1588,Hosing Qinque,492,35,17220,,,,,,,,,,,
1589,Nest Qinque,1620,20,32400,,,,,,,,,,,
1590,Back Cover 70,400,30,12000,,,,,,,,,,,
1591,,,,85354,,,,,,,,,,,
1592,Upper Cover  window,564,35,19740,3/1/2015,,,,,,,,,,
1593,Hosing 70Black,590,8,4720,,,,,,,,,,,
1594,hosing qinque,522,35,18270,,,,,,,,,,,
1595,,,,42730,,,,,,,,,,,
1596,Upper Cover Window,450,35,15750,5/1/2015,,,,,,,,,,
1597,Back Cover 70,564,30,16920,,,,,,,,,,,
1598,Hosing 70Black,654,8,5232,,,,,,,,,,,
1599,,,,37902,,,,,,,,,,,
1600,Upper Cover Window,531,35,18585,7/1/2015,,,,,,,,,,
1601,Back Cover 70,813,30,24390,,,,,,,,,,,
1602,Hosing 70Black,705,8,5640,,,,,,,,,,,
1603,,,,48615,,,,,,,,,,,
1604,Upper Cover  window,1062,35,37170,9/1/2015,,,,,,,,,,
1605,Back Cover 70,717,30,21510,,,,,,,,,,,
1606,Hosing 70Black,750,8,6000,,,,,,,,,,,
1607,,,,64680,,,,,,,,,,,
1608,Hoiusing qinque,411,35,14385,12/1/2015,,,,,,,,,,
1609,dial Blank qinque,1640,12,19680,13-1-2015,,,,,,,,,,
1610,upper Cover  Qinque 125,230,45,10350,,,,,,,,,,,
1611,upper Cover  Qinque 125,200,45,9000,,,,,,,,,,,
1612,,,,39030,,,,,,,,,,,
1613,Upper Cover  window,448,35,15680,14-1-2015,,,,,,,,,,
1614,upper Cover  Qinque 125,300,45,13500,,,,,,,,,,,
1615,Back Cover 70,741,30,22230,,,,,,,,,,,
1616,Hosing 70Black,985,8,7880,,,,,,,,,,,
1617,,,,59290,,,,,,,,,,,
1618,Dial Blank qinque,3000,12,36000,15-1-2015,,,,,,,,,,
1619,upper Cover  Qinque 125,270,45,12150,15-1-2015,,,,,,,,,,
1620,Upper Cover Window,188,35,6580,,,,,,,,,,,
1621,Back Cover 70,222,30,6660,,,,,,,,,,,
1622,Hosing 70Black,375,8,3000,,,,,,,,,,,
1623,,,,28390,,,,,,,,,,,
1624,Upper Cover  window,459,35,16065,17-1-2015,,,,,,,,,,
1625,Back Cover 70,750,30,22500,,,,,,,,,,,
1626,Hosing 70Black,835,8,6680,,,,,,,,,,,
1627,Upper Cover Window,265,35,9275,,,,,,,,,,,
1628,Back Cover 70,410,30,12300,,,,,,,,,,,
1629,Hosing 70Black,327,8,2616,,,,,,,,,,,
1630,,,,69436,,,,,,,,,,,
1631,Upper Cover Window,269,35,9415,19-1-2015,,,,,,,,,,
1632,Back Cover 70,408,30,12240,,,,,,,,,,,
1633,,,,21655,,,,,,,,,,,
1634,upper Cover  Qinque,660,45,29700,22-1-2015,,,,,,,,,,
1635,hosing qinque,256,35,8960,,,,,,,,,,,
1636,Upper Cover  window,203,35,7105,,,,,,,,,,,
1637,,,,45765,,,,,,,,,,,
1638,Upper Cover  window,220,35,7700,23-1-2015,,,,,,,,,,
1639,Upper Cover  window,570,35,19950,24-1-2015,,,,,,,,,,
1640,Hosing 70Black,550,8,4400,,,,,,,,,,,
1641,,,,24350,,,,,,,,,,,
1642,Upper Cover  window,1144,35,40040,24-1-2015,,,,,,,,,,
1643,Back Cover 70,1020,30,30600,,,,,,,,,,,
1644,Hosing 70Black,312,8,2496,,,,,,,,,,,
1645,,,,73136,,,,,,,,,,,
1646,Upper Cover  window,733,35,25655,28-1-2015,,,,,,,,,,
1647,Back Cover 70,1002,30,30060,,,,,,,,,,,
1648,hosing qinque,522,35,18270,,,,,,,,,,,
1649,,,,73985,,,,,,,,,,,
1650,Upper Cover  window,514,35,17990,29-1-2015,,,,,,,,,,
1651,Back Cover 70,507,30,15210,,,,,,,,,,,
