Sr.,Particulars,Qty,Rate,Total,Date,Company
36,Upper Cover Zxmco,290,36,10440,24-Mar-12,
37,Back Cover 70,221,30,6630,,
38,Housing 70,451,9,4059,,
39,,,,21129,,
40,Upper Cover Zxmco,460,36,16560,26-Mar-12,
41,Back Cover 70,672,30,20160,,
42,Dial Blank 70,500,8,4000,,
43,,,,40720,,
44,Upper Cover Zxmco,222,36,7992,28-Mar-12,
45,Back Cover 70,501,30,15030,,
46,,,,23022,,
47,Back cover 70,496,30,14880,29-Mar-12,
48,Back Cover 70 (Hole),225,30,6750,,
49,,,,21630,,
50,Upper Cover Zxmco,222,36,7992,31-Mar-12,
51,Upper Cover Zxmco,415,36,14940,,
52,Back Cover 70,231,30,6930,,
53,,,,29862,,
,,,,,,
M/S,Mega Hi Tech,,,,,
,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,
1,Upper Cover Zxmco,447,36,16092,2-Apr-12,
2,Back Cover 70,279,30,8370,,
3,,,,24462,,
4,Upper Cover 70,370,36,13320,5-Apr-12,
5,Back Cover 70,465,30,13950,,
6,,,,27270,,
7,Back Cover 70,382,30,11460,12-Apr-12,
8,Upper Cover 70 window,222,36,7992,,
9,,,,19452,,
10,Upper Cover 70 window,370,36,13320,13-Apr-12,
11,Back Cover 70,398,30,11940,,
12,Housing rikshaw large,510,25,12750,,
13,,,,38010,,
14,Rubber Ring Large,500,10,5000,17-Apr-12,
15,Rubber Ring Small,1000,5,5000,,
16,Upper Cover 70 New,271,36,9756,,
17,Back Cover 70 gare counter,477,30,14310,,
18,Housing 70 Gare Counter,250,9,2250,,
19,,,,36316,,
20,Houing Rikshaw Small,200,17,3400,20-Apr-12,
21,Upper Cover 70,472,36,16992,,
22,Back Cover 70,406,30,12180,,
23,Upper Cover 70 window,424,36,15264,,
24,,,,47836,,
25,Upper Cover 70 window,323,36,11628,24-Apr-12,
26,Back Cover 70,819,30,24570,,
27,,,,36198,,
28,Dial Blank Qinque,200,12,2400,26-Apr-12,imran
29,Upper Cover Sohrab window,116,48,5568,7-May-12,
30,Upper Cover Window 70,488,36,17568,,
31,Back Cover 70,687,30,20610,,
32,,,,46146,,
33,Upper Cover 70 new,368,36,13248,11-May-12,
34,back Cover 70 gare counter,478,30,14340,,
35,Housing Qinque,468,35,16380,,
36,Housing small Rikshaw,400,17,6800,,
37,,,,50768,,
38,Cover Set Honda 125,116,120,13920,11-May-12,
39,Upper Cover Unique 70,74,36,2664,,
40,Back Cover 70,408,30,12240,,
41,,,,28824,,
42,Upper Cover Window,467,36,16812,14-May,
43,Back Cover 70 hole,443,30,13290,,
44,,,,30102,,
45,Upper Cover Window,252,48,12096,14-May-12,
46,Back Cover 70 hole,192,30,5760,,
47,Cover  set 125,150,120,18000,,
48,,,,35856,,
49,Cover Set 125 window,63,120,7560,15-May-12,
50,Cover set 125,277,120,33240,17-May-12,
51,Back Cover 70 hole,310,30,9300,,
52,,,,42540,,
,,,,,,
M/S,Mega Hi Tech,,,,,
,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,
1,Dial Blank 125,200,9,1800,23-May-12,
2,Dial Blank Qinque,200,12,2400,,
3,Upper Cover Window,148,36,5328,,
4,Upper Cover Window,323,36,11628,,
5,Back Cover 70,415,30,12450,,
6,,,,33606,,
7,Dial Blank Qinque,125,12,1500,28-May-12,
8,Dial Blank 125,1400,9,12600,,
9,Upper Cover Window,395,36,14220,,
10,Back Cover 70,289,30,8670,,
11,,,,36990,,
12,Cover  set 125,200,120,24000,5/30/2012,
13,Upper Cover Window,272,36,9792,,
14,,,,33792,,
15,Dial Blank Qinque,1000,12,12000,4-Jun-12,
16,Upper Cover Window,518,36,18648,,
17,Back Cover 70,658,30,19740,,
18,,,,50388,,
19,Upper Cover 70 Window,518,36,18648,5-Jun-12,
20,Back Cover 70,437,30,13110,,
21,Housinhg 125 White,370,,31758,,
22,Back cover 70 gare Counter,168,30,5040,7-Jun-12,
23,Housing 70 gare counter,130,9,1170,,
24,Cover Set 125 white hole,665,125,83125,,
25,Back Cover 70 gare counter,278,30,8340,,
26,Housing 70 gare counter,330,9,2970,,
27,,,,100645,,
28,Cover  set 125 white hole,321,125,40125,9-Jun-12,
29,Upper Cover 70 Window,444,36,15984,,
30,Back Cover 70,732,30,21960,,
31,,,,37944,,
32,Upper Cover Window,444,36,15984,12-Jun-12,
33,Back Cover 70,732,30,21960,,
34,,,,37944,,
35,Upper Cover Window,666,36,23976,13-Jun-12,
36,Back Cover 70,306,30,9180,,
37,Cover  set 125,138,125,17250,,
38,,,,50406,,
39,Upper Cover Window,74,36,2664,16-Jun-12,
40,Back Cover 70,615,30,18450,,
41,Upper Cover Window,439,36,15804,,
42,,,,36918,,
43,Upper Cover Window,444,36,15984,18-Jun-12,
44,Back Cover 70,304,30,9120,,
45,,,,25104,,
46,Upper Cover Window,370,36,13320,6/19/2012,
47,Back Cover 70,204,30,6120,,
48,back Cover 70 gare Counter,238,30,7140,,
49,Housing 70 gare Counter,410,9,3690,,
50,,,,30270,,
,,,,,,
M/S,Mega Hi Tech,,,,,
,,,,,,
Sr.,Particulars,Qty,Rate,Total,Date,
1,Back Cover 70 Hole,701,30,21030,21-Jun-12,
2,Upper Cover Window,545,36,19620,22-Jun-12,
3,Back Cover 70,263,30,7890,,
4,,,,27510,,
5,Upper Cover 70 Window,294,36,10584,27-Jun-12,
6,Back Cover 70 hole,381,30,11430,,
7,Back Cover 70,271,30,8130,,
8,,,,30144,,
9,Upper Cover 70 Window,370,36,13320,7/3/2012,
10,Upper Cover 70 Window,505,36,18180,,
11,Upper Cover 70 Window,305,36,10980,,
12,Back Cover 70,235,30,7050,,
13,Back Cover 70 hole,252,30,7560,,
14,,,,57090,,
15,upper Cover 70 Window,370,36,13320,4-Jul-12,
16,Back Cover 70,245,30,7350,,
17,Back cover 70 hole,250,30,7500,,
18,,,,28170,,
19,Upper Cover 70,296,36,10656,7-Jul-12,
20,Back Cover 70,556,30,16680,,
21,,,,27336,,
22,Back Cover 70,1217,30,36510,7-Jul-12,
23,Upper Cover Window,610,36,21960,9-Jul-12,
24,Back Cover 70,435,30,13050,,
25,Back Cover 70 Hole,140,30,4200,,
26,Upper Cover 70,450,36,16200,,
27,,,,55410,,
28,Upper Cover Window,296,36,10656,11-Jul-12,
29,Back Cover 70 Hole,325,30,9750,,
30,Back Cover 70,501,30,15030,,
31,,,,35436,,
32,Upper Cover Window,446,36,16056,12-Jul-12,
33,Back Cover 70,888,30,26640,,
34,,,,42696,,
35,Upper Cover Window,740,36,26640,14-Jul-12,
36,Back Cover 70,537,30,16110,,
37,,,,42750,,
38,Upper Cover Window,563,36,20268,16-Jul-12,
39,Back Cover 70,740,30,22200,,
40,,,,42468,,
41,Upper Cover Window,627,36,22572,18-Jul,
42,Back Cover 70,520,30,15600,,
43,,,,38172,,
44,Upper Cover Window,628,36,22608,20-Jul-12,
45,Back Cover 70,677,30,20310,,
46,Dial Blank 125,1650,9,14850,,
47,,,,57768,,
48,Upper Cover Window,562,36,20232,21-Jul-12,
49,Back Cover 70,597,30,17910,,
50,,,,38142,,
51,back Cover 70 Gare Counter,516,30,15480,23-Jul-12,
52,Housing 70 gare Counter,510,9,4590,,
53,Back Cover 70 Hole,234,30,7020,,
54,,,,27090,,
55,Upper Cover 70,295,36,10620,24-Jul-12,
56,Upper Cover Window,298,36,10728,,
57,Back Cover 70 Hole,370,30,11100,,
58,Back Cover 70,461,30,13830,,
59,,,,46278,,
60,Upper Cover Window,409,36,14724,25-Jul-12,
61,Upper Cover 70,261,36,9396,,
62,Back Cover 70,673,30,20190,,
63,,,,44310,,
64,Upper Cover Unique,573,36,20628,26-Jul-12,
65,Back Cover 70,931,30,27930,,
66,Rubber Ring set,500,35,17500,,
67,,,,66058,,
68,Upper Cover 70,826,36,29736,28-Jul-12,
69,Back Cover 70,828,30,24840,,
70,,,,54576,,
71,Cover  set 125,200,125,25000,28-Jul-12,
72,Upper Cover Window,182,36,6552,,
73,Back Cover 70,453,30,13590,,
74,Back Cover 70 Hole,195,30,5850,,
75,,,,50992,,
76,Upper Cover 70 New,502,36,18072,31-Jul-12,
77,Back Cover 70,699,30,20970,,
78,,,,39042,,
79,Cover  set 125,400,125,50000,2-Aug-12,
80,Upper Cover Window,230,36,8280,,
81,,,,58280,,
82,Upper Cover Window,385,36,13860,4-Aug-12,
83,Back Cover 70,451,30,13530,,
84,Back Cover 70 Hole,271,30,8130,,
85,,,,35520,,
86,Upper Cover Unique,316,36,11376,6-Aug-12,
87,Back Cover 70 Hole,500,30,15000,,
88,Upper Cover Window,866,36,31176,,
89,Upper Cover Unique,505,36,18180,,
90,Back Cover 70 Hole,133,30,3990,,
91,,,,79722,,
92,Upper Cover Unique,266,36,9576,7-Aug-12,
93,Back Cover 70 Hole,631,30,18930,,
94,,,,28506,,
95,Upper Cover Window,252,36,9072,8-Aug-12,
96,Back Cover 70 Hole,306,30,9180,,
97,,,,18252,,
98,Upper Cover Window,222,36,7992,9-Aug-12,
99,Back Cover 70 Hole,214,30,6420,,
100,,,,14412,,
101,Dial Blank Qinque,500,12,6000,11-Aug-12,
102,Upper Cover Window,307,36,11052,,
103,Upper Cover 70 New,205,36,7380,,
104,Back Cover 70,269,30,8070,,
105,,,,32502,,
106,Upper Cover Window,475,36,17100,13-Aug-12,
107,Back Cover 70,585,30,17550,,
108,,,,34650,,
109,Upper Cover Window,610,36,21960,14-Aug-12,
110,Back Cover 70,603,30,18090,,
111,,,,40050,,
112,Upper Cover Window,356,36,12816,16-Aug-12,
113,Back Cover70 Hole,765,30,22950,,
114,,,,35766,,
115,Upper Cover Window,377,36,13572,17-Aug-12,
116,Back Cover 70 Hole,300,30,9000,,
117,Back Cover 70,651,30,19530,,
118,,,,42102,,
119,Upper Cover Unique,744,36,26784,27-Aug-12,
120,Upper Cover Window,516,36,18576,,
121,Cover Set Racer,208,125,26000,,
122,Dial Blank Ravi,360,12,4320,,
123,,,,75680,,
124,Upper Cover Window,540,36,19440,28-Aug-12,
125,Upper Cover Unique,296,36,10656,,
126,Back Cover 70 Hole,499,30,14970,,
127,,,,45066,,
128,Upper Cover Window,522,36,18792,29-Aug-12,
129,Upper Cover Unique,284,36,10224,,
130,Back Cover 70 Hole,583,30,17490,,
131,,,,46506,,
132,Upper Cover Window,696,36,25056,31-Aug-12,
133,Back Cover 70,544,30,16320,,
134,Back Cover 70 Hole,276,30,8280,,
135,,,,49656,,
136,Dial Blank 125,1000,9,9000,1-Sep-12,
137,Upper Cover Unique,744,36,26784,,
138,Upper Cover Window,452,36,16272,,
139,Back Cover 70 Hole,60,30,1800,,
140,,,,53856,,
141,Upper Cover Window,278,36,10008,4-Sep-12,
142,Back Cover 70,628,30,18840,,
143,Back Cover 70 Hole,492,30,14760,,
144,,,,43608,,
145,Upper Cover Window,518,36,18648,5-Sep-12,
146,Back Cover 70,555,30,16650,,
147,Back Cover 70 Hole,407,30,12210,,
148,,,,47508,,
